               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,             0.01518,           0.0099449,            0.028905,             0.59683,             0.77658,             0.73528,              0.5334,            0.013639,             0.00374,            0.019754,            0.002575,            0.002575,            0.002575
                  77,            0.015219,           0.0097939,            0.028442,             0.62554,             0.73455,             0.72594,             0.53504,            0.013105,           0.0037901,            0.021361,            0.002476,            0.002476,            0.002476
                  78,            0.014754,            0.010009,            0.028457,             0.73233,             0.67723,             0.75637,             0.56732,            0.012111,           0.0035063,            0.021909,            0.002377,            0.002377,            0.002377
                  79,            0.014801,            0.009672,            0.027037,             0.66148,             0.72703,             0.76538,             0.57488,            0.012759,           0.0036136,            0.019445,            0.002278,            0.002278,            0.002278
                  80,            0.015028,           0.0096849,            0.028493,              0.7366,             0.74377,             0.78433,             0.57872,            0.011834,           0.0033757,            0.019598,            0.002179,            0.002179,            0.002179
                  81,            0.014592,           0.0097634,            0.027855,             0.64902,             0.74894,             0.77946,             0.57763,            0.011905,           0.0035854,            0.019136,             0.00208,             0.00208,             0.00208
                  82,             0.01477,           0.0098763,            0.027367,              0.6589,             0.74262,             0.77707,             0.57875,            0.012394,            0.003482,            0.018852,            0.001981,            0.001981,            0.001981
                  83,            0.014528,           0.0094197,            0.027351,             0.71408,              0.6823,             0.75662,             0.56412,            0.012394,           0.0036007,            0.020193,            0.001882,            0.001882,            0.001882
                  84,            0.014512,            0.009638,            0.026562,             0.71636,             0.66783,             0.75363,             0.56107,            0.012304,           0.0035542,            0.020738,            0.001783,            0.001783,            0.001783
                  85,            0.014287,           0.0094442,            0.026628,             0.69465,             0.70393,             0.76166,             0.55246,            0.012475,           0.0035544,            0.018598,            0.001684,            0.001684,            0.001684
                  86,            0.014406,           0.0096646,            0.026607,             0.73687,             0.69192,              0.7811,             0.55968,            0.013204,           0.0036167,            0.019691,            0.001585,            0.001585,            0.001585
                  87,            0.013806,           0.0093164,            0.026314,             0.74603,             0.75672,             0.79652,             0.58503,            0.012435,           0.0036059,            0.017751,            0.001486,            0.001486,            0.001486
                  88,            0.013577,           0.0091826,            0.025469,             0.71795,             0.74963,              0.7922,             0.59273,            0.011878,           0.0035184,            0.019539,            0.001387,            0.001387,            0.001387
                  89,            0.013895,           0.0096535,            0.026081,             0.65814,              0.7546,             0.76743,             0.56801,            0.011691,           0.0035959,            0.018163,            0.001288,            0.001288,            0.001288
                  90,            0.013466,           0.0092624,             0.02528,             0.65884,             0.74325,             0.76969,             0.56922,            0.012372,           0.0036832,            0.018791,            0.001189,            0.001189,            0.001189
                  91,            0.013476,           0.0093234,            0.025143,             0.75418,             0.72745,             0.79347,              0.5786,            0.012827,             0.00361,            0.017733,             0.00109,             0.00109,             0.00109
                  92,            0.013661,           0.0094591,            0.025326,             0.75139,             0.71334,             0.78689,             0.59107,            0.012137,           0.0035287,            0.018536,            0.000991,            0.000991,            0.000991
                  93,             0.01352,           0.0093153,            0.025262,             0.75281,             0.75888,             0.79405,             0.60901,            0.011799,           0.0034917,            0.016812,            0.000892,            0.000892,            0.000892
                  94,            0.013108,           0.0093235,            0.025169,             0.74206,             0.68531,             0.77218,             0.56617,            0.012329,           0.0036782,            0.018264,            0.000793,            0.000793,            0.000793
                  95,            0.013219,           0.0091078,            0.024297,             0.74024,             0.71749,             0.77788,             0.57863,            0.012437,           0.0034218,            0.017757,            0.000694,            0.000694,            0.000694
                  96,            0.013257,            0.009101,            0.023826,             0.71673,              0.6807,             0.75194,               0.566,             0.01198,           0.0035442,            0.018984,            0.000595,            0.000595,            0.000595
                  97,            0.013114,           0.0092039,            0.024368,              0.7228,              0.7145,             0.74834,             0.57039,             0.01177,           0.0035237,            0.018202,            0.000496,            0.000496,            0.000496
                  98,            0.013311,           0.0093161,            0.024174,             0.72906,             0.71096,             0.76254,             0.57166,            0.012305,           0.0036615,            0.018671,            0.000397,            0.000397,            0.000397
                  99,            0.013028,           0.0091987,            0.024192,             0.70866,             0.68646,             0.76733,             0.58149,            0.012063,           0.0035526,            0.018033,            0.000298,            0.000298,            0.000298
